X,CH1,
Second,Volt,
-1.2984000e-01,-1.00000e-02,
-1.2982000e-01,-1.00000e-02,
-1.2980001e-01,-1.00000e-02,
-1.2977999e-01,-1.00000e-02,
-1.2976000e-01,-1.00000e-02,
-1.2974000e-01,-1.00000e-02,
-1.2972000e-01,-1.00000e-02,
-1.2970001e-01,-1.00000e-02,
-1.2968001e-01,-1.00000e-02,
-1.2966000e-01,-1.00000e-02,
-1.2964000e-01,-1.00000e-02,
-1.2962000e-01,-1.00000e-02,
-1.2960000e-01,-1.00000e-02,
-1.2958001e-01,-1.00000e-02,
-1.2956001e-01,-1.00000e-02,
-1.2954000e-01,-1.00000e-02,
-1.2952000e-01,-1.00000e-02,
-1.2950000e-01,-1.00000e-02,
-1.2948000e-01,-1.00000e-02,
-1.2946001e-01,-1.00000e-02,
-1.2943999e-01,-1.00000e-02,
-1.2942000e-01,-1.00000e-02,
-1.2940000e-01,-1.00000e-02,
-1.2938000e-01,-1.00000e-02,
-1.2936001e-01,-1.00000e-02,
-1.2934001e-01,-1.00000e-02,
-1.2932000e-01,-1.00000e-02,
-1.2930000e-01,-1.00000e-02,
-1.2928000e-01,-1.00000e-02,
-1.2926000e-01,-1.00000e-02,
-1.2924001e-01,-1.00000e-02,
-1.2922001e-01,-1.00000e-02,
-1.2920000e-01,-1.00000e-02,
-1.2918000e-01,-8.00000e-03,
-1.2916000e-01,-1.00000e-02,
-1.2914000e-01,-1.00000e-02,
-1.2912001e-01,-1.00000e-02,
-1.2909999e-01,-1.00000e-02,
-1.2908000e-01,-1.00000e-02,
-1.2906000e-01,-1.00000e-02,
-1.2904000e-01,-1.00000e-02,
-1.2902001e-01,-1.00000e-02,
-1.2900001e-01,-1.00000e-02,
-1.2898000e-01,-1.00000e-02,
-1.2896000e-01,-1.00000e-02,
-1.2894000e-01,-1.00000e-02,
-1.2892000e-01,-1.00000e-02,
-1.2890001e-01,-1.00000e-02,
-1.2887999e-01,-1.00000e-02,
-1.2886000e-01,-1.00000e-02,
-1.2884000e-01,-1.00000e-02,
-1.2882000e-01,-1.00000e-02,
-1.2880000e-01,-1.20000e-02,
-1.2878001e-01,-1.00000e-02,
-1.2876000e-01,-1.20000e-02,
-1.2874000e-01,-1.20000e-02,
-1.2872000e-01,-1.20000e-02,
-1.2870000e-01,-1.20000e-02,
-1.2868001e-01,-1.00000e-02,
