Winkel	Zählrate
3.000	22.600
3.200	22.200
3.400	25.000
3.600	28.200
3.800	26.800
4.000	24.600
4.200	31.000
4.400	34.400
4.600	33.200
4.800	44.000
5.000	69.000
5.200	201.400
5.400	334.800
5.600	423.400
5.800	548.600
6.000	600.000
6.200	656.800
6.400	678.800
6.600	704.000
6.800	717.000
7.000	721.400
7.200	735.800
7.400	725.200
7.600	704.800
7.800	683.400
8.000	672.200
8.200	658.400
8.400	641.200
8.600	638.000
8.800	796.000
9.000	1354.600
9.200	652.200
9.400	558.800
9.600	537.800
9.800	590.000
10.000	1789.000
10.200	2566.200
10.400	536.400
10.600	418.800
10.800	384.000
11.000	355.600
11.200	345.200
11.400	337.200
11.600	315.800
11.800	293.800
12.000	267.000
12.200	257.600
12.400	252.000
12.600	237.200
12.800	224.000
13.000	207.400
13.200	194.200
13.400	182.200
13.600	163.600
13.800	161.000
14.000	142.600
14.200	149.800
14.400	143.000
14.600	129.800
14.800	132.400
15.000	126.600
15.200	136.000
15.400	122.600
15.600	124.600
15.800	128.200
16.000	119.000
16.200	108.800
16.400	113.200
16.600	101.200
16.800	100.600
17.000	102.200
17.200	106.800
17.400	101.600
17.600	95.000
17.800	109.400
18.000	128.000
18.200	178.600
18.400	155.400
18.600	97.400
18.800	105.800
19.000	93.400
19.200	91.400
19.400	86.000
19.600	93.400
19.800	89.200
20.000	88.400
20.200	93.400
20.400	129.400
20.600	408.800
20.800	253.600
21.000	85.000
21.200	71.800
21.400	78.600
21.600	75.200
21.800	78.400
22.000	76.600
