Winkel	Zählrate 
8.000	681.550
8.100	662.700
8.200	653.400
8.300	639.700
8.400	630.150
8.500	617.700
8.600	612.400
8.700	643.050
8.800	769.250
8.900	1086.900
9.000	1321.050
9.100	1141.750
9.200	669.000
9.300	564.550
9.400	550.800
9.500	533.000
9.600	524.150
9.700	530.050
9.800	548.150
9.900	652.350
10.000	1583.950
10.100	2658.700
10.200	2697.850
10.300	1375.700
10.400	565.100
10.500	426.300
10.600	403.800
10.700	392.550
10.800	387.000
10.900	370.000
11.000	370.500
