Winkel	Zählrate
17.500	112.250
17.600	132.000
17.700	140.550
17.800	110.500
17.900	94.500
18.000	92.650
18.100	90.750
18.200	90.950
18.300	87.150
18.400	90.300
18.500	87.900
18.600	83.700
18.700	88.200
18.800	87.350
18.900	84.950
19.000	87.350
19.100	85.850
19.200	86.800
19.300	81.100
19.400	88.350
19.500	86.450
19.600	100.800
19.700	124.950
19.800	157.950
19.900	215.650
20.000	302.300
20.100	305.300
20.200	197.250
20.300	122.300
20.400	97.350
20.500	88.100
20.600	82.650
20.700	81.350
20.800	78.250
20.900	78.500
21.000	77.950
21.100	78.300
21.200	75.500
21.300	78.700
21.400	76.750
21.500	73.100
