Winkel	Zählrate
3.000	13.000
3.200	10.800
3.400	23.000
3.600	211.000
3.800	580.400
4.000	806.400
4.200	996.600
4.400	1090.000
4.600	1155.600
4.800	1146.800
5.000	1153.200
5.200	1084.800
5.400	1053.600
5.600	1016.000
5.800	958.800
6.000	863.600
6.200	1088.600
6.400	1545.400
6.600	818.800
6.800	724.800
7.000	1243.600
7.200	2827.400
7.400	836.800
7.600	502.800
7.800	470.000
8.000	451.000
8.200	411.000
8.400	387.000
8.600	358.200
8.800	334.200
9.000	311.600
9.200	293.800
9.400	260.800
9.600	246.000
9.800	222.800
10.000	208.000
10.200	205.200
10.400	179.600
10.600	181.800
10.800	174.800
11.000	173.400
11.200	157.200
11.400	157.000
11.600	150.600
11.800	142.600
12.000	146.800
12.200	131.400
12.400	133.800
12.600	168.200
12.800	261.000
13.000	268.000
13.200	123.000
13.400	129.000
13.600	122.000
13.800	122.200
14.000	119.600
14.200	126.000
14.400	340.200
14.600	667.600
14.800	154.200
15.000	99.800
15.200	88.400
15.400	89.800
15.600	89.000
15.800	89.200
16.000	78.600
16.200	82.400
16.400	72.200
16.600	70.200
16.800	60.600
17.000	61.800
17.200	63.200
17.400	55.600
17.600	57.000
17.800	55.600
18.000	57.800
